Value0,Value1,Rollout,Runtime
1.1144600956141668,3.7476373725368357,100.0,0.08172392845153809
1.5475189345693898,3.805611166044044,101.0,0.08041906356811523
0.9415346528669192,3.3461278456774606,102.0,0.07946586608886719
1.7194323346515954,3.3985149930049983,103.0,0.0804758071899414
1.7765741494725296,3.4143874625365527,104.0,0.0796811580657959
1.729863537687664,3.4558111996562704,105.0,0.08134698867797852
2.0249145774423165,3.4368274777749126,106.0,0.08205294609069824
1.422759862740859,3.365204143148728,107.0,0.08000993728637695
1.3327847751811999,3.649811878111256,108.0,0.0803537368774414
1.1717136870812186,3.798341537716127,109.0,0.08089494705200195
1.2281065829674322,3.6629161937372814,110.0,0.0825202465057373
1.4274061174124477,3.58728858124019,111.0,0.0800628662109375
1.015775313300701,3.6157782225807256,112.0,0.08213090896606445
2.181251228558236,3.542955628944526,113.0,0.0828862190246582
1.8027657106584152,3.02490090048361,114.0,0.08007407188415527
1.6701649786653359,3.344404911028634,115.0,0.08179378509521484
1.8507103240929914,3.449919794725344,116.0,0.0804128646850586
1.9754833802919936,3.4645806134377843,117.0,0.07973504066467285
1.4833784909777712,3.3509156916594955,118.0,0.08245587348937988
0.9855661863059679,3.3355033432423618,119.0,0.0794367790222168
1.519190233683859,3.3491696392893178,120.0,0.08039307594299316
1.2045163265156809,3.39458469909071,121.0,0.0798180103302002
1.7139449253043533,3.4102830126098467,122.0,0.08211588859558105
1.9379807496914232,3.723488269423519,123.0,0.08002305030822754
1.0623750806285226,3.7785363751189096,124.0,0.08000493049621582
1.8095749608424267,3.4847825905837992,125.0,0.0832970142364502
1.4257063858345724,3.0787030268911626,126.0,0.08126592636108398
1.1314112454887622,3.5799701338187777,127.0,0.0787818431854248
1.6563925551209215,3.536607455320212,128.0,0.07993125915527344
1.4677934969216593,3.8960835315668505,129.0,0.0865318775177002
1.4837982158709402,2.880516484591405,130.0,0.08331823348999023
1.3007785180300722,3.7723724632829927,131.0,0.08396387100219727
1.7422671369096017,4.010280741652833,132.0,0.08458662033081055
1.7522275758147312,3.213706144463414,133.0,0.08243989944458008
1.3055987348875027,3.5470206974829974,134.0,0.0833740234375
1.260147873165024,2.9664849024932507,135.0,0.137160062789917
1.4227621169595353,3.8873585137162423,136.0,0.09923005104064941
1.8508888796657885,3.330051959312675,137.0,0.08685088157653809
1.467154298375802,3.262551800312944,138.0,0.08570504188537598
1.4624066144735817,3.5121585678526053,139.0,0.08693981170654297
1.9678745494029406,3.6015492187750926,140.0,0.08761215209960938
1.336402289433038,3.181344835704543,141.0,0.08524799346923828
1.2841970772571292,3.5038073655182687,142.0,0.08589696884155273
1.4236686414050235,3.6001320596721373,143.0,0.0835869312286377
1.8045325969626447,3.3525608669306597,144.0,0.08450484275817871
1.838300167753148,3.490142982910732,145.0,0.08421611785888672
1.0049762628091925,3.0628530506580596,146.0,0.09659790992736816
1.6416085113363619,3.2882883605994584,147.0,0.08533787727355957
1.5875966284641905,3.26248537900426,148.0,0.08955216407775879
1.702173283905336,3.628420837436184,149.0,0.08222103118896484
1.281560002736565,3.431095426537895,150.0,0.07975101470947266
2.4918576011494746,3.82734772993508,151.0,0.0789639949798584
1.0830558958539063,3.7453815229143324,152.0,0.07979202270507812
1.6846066899722396,3.3964367449491633,153.0,0.07995891571044922
1.1141017898858265,3.6676894160086952,154.0,0.08152890205383301
1.7472118088692035,3.5971161597395276,155.0,0.07950186729431152
1.3209541312738042,3.3780013906940014,156.0,0.07964086532592773
1.6931253678237252,3.6350451585947963,157.0,0.08280491828918457
1.9678521673184077,3.561557044022815,158.0,0.08236503601074219
1.95225211472037,3.474684506761896,159.0,0.07914185523986816
2.368224536833328,3.5401787841608274,160.0,0.08241677284240723
1.112792421489771,3.7662599285171745,161.0,0.08054924011230469
1.2623554343357821,3.2845277298644913,162.0,0.07999992370605469
1.6650349378215406,3.37527672911444,163.0,0.07961201667785645
1.6386885325627056,3.1788938779742772,164.0,0.07935929298400879
1.2188121535060281,3.2769877815095008,165.0,0.07958197593688965
1.360989762860199,3.2224283611260827,166.0,0.08282804489135742
1.9232213865513,3.4460788020379236,167.0,0.07928299903869629
1.2873571628962497,3.249889550138737,168.0,0.07954788208007812
1.9401761307872645,3.7640073892068813,169.0,0.07992124557495117
